ID,Portfolio,Programme,x2005_06,x2006_07,x2007_08,x2008_09,x2009_10,x2010_11,x2011_12,x2012_13,x2013_14,x2014_15,EstimatedActual2015_16,BudgetEstimate2016_17,Status,AllocationMethod,Socio_EconomicObjective,Sector,Appropriation,About,Notes,Group1,Group2,BudgetEstimate2015_16_m,SRIBT_ID
1,"Agriculture and Water Resources","Centres of Excellence - National Food Industry Strategy",2.4,2.3,0,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"08. Agriculture",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516001
2,"Agriculture and Water Resources","Food Innovation Grants - National Food Industry Strategy",15.4,13.1,13.1,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"08. Agriculture",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516002
3,"Agriculture and Water Resources","Forest Industry Climate Change Research Fund",0,0,0,0,3.473,1.294,0,0,0,0,0,0,. . . . .,. . . . .,"08. Agriculture",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516003
4,"Agriculture and Water Resources","New Industries Development Program",2.6,2,2.3,0.18,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"08. Agriculture",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516004
5,"Agriculture and Water Resources","Climate Change Research Program",0,0,0,10,15,15,6.185,0,0,0,0,0,. . . . .,. . . . .,"08. Agriculture",Multi-sector (Energy & Env.),Annual,".",443080,.,".",0,1516005
6,"Agriculture and Water Resources","Land and Water Research ",12.5,12.8,13,13.018,6.7,0,0,0,0,0,0,0,. . . . .,. . . . .,"01. Exploration and exploitation of the Earth",Multi-sector (Other R&D),Annual,".",NaN,.,".",0,1516006
7,"Agriculture and Water Resources","Animal Welfare, Biosecurity and Exotic Disease Preparedness Programs",0.055,0,0,0.082,0.02,0.125,0.208,2.909,0.199,0.003,0,0,. . . . .,Targeted,"08. Agriculture",Multi-sector (Other R&D),Annual,".",NaN,.,".",0,1516007
8,"Agriculture and Water Resources","Centres of Excellence - Biosecurity Risk Analysis and Research",1.7,1.7,1.7,1.689,1.689,1.689,1.719,1.689,1.784,1.793,1.782,1.782,Active,Targeted,"08. Agriculture",Multi-sector (Other R&D),Annual,"The Centre of Excellence for Biosecurity Risk Analysis (CEBRA) aims to deliver practical, rigorous solutions and advice related to the assessment, management, perception and communication of biosecurity risk.  Since 1 July 2013, CEBRA, hosted by the University of Melbourne, has continued the work of the Australian Centre of Excellence for Risk Analysis (ACERA).",436002,.,".",1.782,1516008
9,"Agriculture and Water Resources","National Weeds and Productivity Research Program",0,0,0,3.146,4.089,3.989,4,0,0,0,0,0,. . . . .,. . . . .,"08. Agriculture",Multi-sector (Other R&D),Annual,".",443090,.,".",0,1516009
10,"Agriculture and Water Resources","Plant Biosecurity and Response Reform",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,. . . . .,Targeted,"08. Agriculture",Multi-sector (Other R&D),Annual,"The PB CRC has five research programs that focus on innovative research and development across the full biosecurity continuum; pre-border, border and post-border.  Their research addresses the Australian Government's national research priority of 'safeguarding Australia' by protecting Australia from invasive pests and diseases, terrorism and crime.",NaN,.,".",0,1516010
11,"Agriculture and Water Resources","Mechanical Fuel Load Reduction Trial",0,0,0,0,0,0,0,0,0,0,1,0.5,Active,Targeted,"02. Environment",Multi-sector (Rural),Annual,"The trials aim to establish whether mechanical thinning of forests can reduce bushfire risk in an economical, socially acceptable and environmentally sound manner around key assets or where prescribed burning is undesirable for a range of reasons.",NaN,.,".",0.1,1516011
12,"Agriculture and Water Resources","A Competitive Agriculture Sector - boosting farm profits through rural R&D",0,0,0,0,0,0,0,0,0,19.291,29.295,19.799,Active,Competitive,"08. Agriculture",Multi-sector (Rural),Annual,"The Rural R&D for Profit programme provides grants to rural research and development corporations for collaborative research to improve farmgate productivity and profitability and innovation across the sector.",NaN,.,".",29.239,1516012
13,"Agriculture and Water Resources","Carbon Farming Futures - Action on the Ground",0,0,0,0,0,0,8.073,7.023,11.529,9.716,4.276,2.867,Active,Competitive,"08. Agriculture",Multi-sector (Rural),Annual,"The Action on the Ground programme assists farmers and land managers to undertake on-farm trials of abatement technologies and practices to measure and demonstrate how they can reduce agricultural greenhouse gas emissions or sequester carbon in soil while maintaining or improving farm productivity",442132,.,".",4.326,1516013
14,"Agriculture and Water Resources","Carbon Farming Futures - Extension and Outreach ",0,0,0,0,0,0,0.972,5.117,6.08,6.087,3.737,2.509,Active,Competitive,"08. Agriculture",Multi-sector (Rural),Annual,"The Extension and Outreach programme focuses on increasing the knowledge and understanding of farmers, land managers and their key influencers of land sector emissions management and sequestration of carbon in land systems.",442133,.,".",3.737,1516014
15,"Agriculture and Water Resources","Carbon Farming Futures - Filling the Research Gap",0,0,0,0,0,0,17.628,8.107,39.577,25.97099991,8.984,5.15,Active,Competitive,"08. Agriculture",Multi-sector (Rural),Annual,"The Filling the Research Gap programme funds nationally coordinated research that will deliver practical options for land managers to reduce greenhouse gas emissions, build soil carbon and adapt to changes in climate",442131,.,".",9.487,1516015
16,"Agriculture and Water Resources","Carbon Farming Initiative",0,0,0,0,0,0.284,1.984,1.814,0.2,0,0,0,. . . . .,. . . . .,"08. Agriculture",Multi-sector (Rural),Annual,".",443081,.,".",0,1516016
17,"Agriculture and Water Resources","Established Pest Animals and Weeds Initiative",0,0,0,0,0,0,0,0,0,0,0.9,9.15,Active,Competitive/Targeted,"08. Agriculture",Multi-sector (Rural),Annual,"The $50 million Established Pest Animals and Weeds Initiative aims to improve the tools, technologies, information and skills farmers and their communities need to tackle pest animals and weeds. The initiative is part of the Agricultural Competitiveness White Paper. Part of the initiative will fund the research and development of new and improved tools and technologies for controlling priority pest animals and weeds.",NaN,.,".",0,1617001
18,"Agriculture and Water Resources","Fisheries Resources Research Fund",3.065,3.076,3.086,3.151,3.76,1.551,0.139,2.094,2.075,0.339,0.382,0.44,Active,Targeted,"08. Agriculture",Multi-sector (Rural),Annual,"The programme supports research that assists the Minister and the department to meet the Australian Government's objectives for Commonwealth fisheries management, including independent research, review and assessment capabilities in pursuit of long-term strategic directions for Commonwealth fisheries resource development and the preparation of the Fishery Status Reports.",452031,.,".",0.382,1516018
19,"Agriculture and Water Resources","National Landcare Programme Innovation Grants",0,0,0,0,0,0,0,0,6.844,10.255765,5.033,0,. . . . .,Competitive,"08. Agriculture",Multi-sector (Rural),Annual,"The focus of the program is to increase the uptake of innovative production, resource management, information collection, extension and supply chain management practices and processes that will improve the productivity and sustainability of resource based industries.",443048,.,".",4.943,1516023
20,"Agriculture and Water Resources","Regional Food Producers/Seafood Industry Innovation and Productivity Program",0,0,0,0,2.965,5.123,0.418,0,0,0,0,0,. . . . .,. . . . .,"08. Agriculture",Multi-sector (Rural),Annual,".",NaN,.,".",0,1516025
21,"Agriculture and Water Resources","Rural Industries R&D Corporation ",14.9,14.9,13.4,13.345,13.991,13.126,15.071,14.719,14.461,13.02844653,12.436,13.309,Active,Formula,"08. Agriculture",Multi-sector (Rural),Annual,"Commonwealth matching contribution for Rural Industries Research & Development Corporation (RIRDC) and Bill 1 appropriation for agriculture research and development.",NaN,Rural R&D Corporations,".",12.241,1516026
22,"Agriculture and Water Resources","Science and Innovation Awards for Young People in Agriculture, Fisheries and Forestry",0,0,0,0,0.035,0.032542,0.03274,0.032434,0.015272,0.22522546,0.239,0.242,Active,Competitive,"08. Agriculture",Multi-sector (Rural),Annual,"The grants program aims to support young people to undertake a project on an innovative or emerging scientific issue, including biophysical and social sciences, that will contribute to the ongoing success and sustainability of Australia's agricultural, fisheries and forestry industries.",NaN,.,".",0.022,1516027
23,"Agriculture and Water Resources","Wine Industry Support",0,0,0,0,0,0,0,0,1.05,0,0,0,. . . . .,Formula,"08. Agriculture",Multi-sector (Rural),Annual,".",448025,Rural R&D Corporations,".",0,1516028
24,"Agriculture and Water Resources","Dairy Australia Limited",15.359,15.998,18.297,19.167,19.642,17.749,18.432,19.28,20.388,21.39205198,23.618,23.671,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Dairy Australia Limited.",NaN,Rural R&D Corporations,".",22.292,1516017
25,"Agriculture and Water Resources","Fishing Industry Research ",32.8,28,14.9,21.35,16.335,16.528,17.494,17.041,18.121,18.70815362,19.244,20.331,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Fisheries Research & Development Corporation (FRDC).",NaN,Rural R&D Corporations,".",18.083,1516019
26,"Agriculture and Water Resources","Forestry",0,0,0,0,0,0,0,0,0,3.3042347,4.279,5.044,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Forest and Wood Products Australia Limited (FWPAL).",NaN,Rural R&D Corporations,".",0,1617002
27,"Agriculture and Water Resources","Grains ",35.1,35.8,37.5,42.22,50.071,53.404,57.568,62.846,68.742,67.84825462,68.189,68.158,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Grains Research & Development Corporation (GRDC).",NaN,Rural R&D Corporations,".",69.128,1516020
28,"Agriculture and Water Resources","Horticulture Research ",32.9,34,36.2,32.352,40.187,39.23,42,41.888,41.258,41.021,43.75,45.5,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Horticulture Innovation Australia Limited.",NaN,Rural R&D Corporations,".",42.5,1516021
29,"Agriculture and Water Resources","Meat Research ",36.3,37.6,45,42.807,41.972,37.844,49.447,40.586,51.142,47.44717226,60.396,58.812,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Meat & Livestock Australia Limited (MLA) and Australia Pork Limited (APL).",NaN,Rural R&D Corporations,".",53.953,1516022
30,"Agriculture and Water Resources","Other Rural Research ",37.8,47.6,50.8,45.923,22.316,23.657,29.283,24.957,28.858,27.494,24.566,24.867,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Sugar Research Australia Limited (SRA), Cotton Research and Development Corporation (CRDC) and Australian Grape and Wine Authority (AGWA).",NaN,Rural R&D Corporations,".",22.585,1516024
31,"Agriculture and Water Resources","Wool Research ",16.2,11.6,12.1,12.2,10.322,9.6,11.5,13.746,12.97,12.47847439,12.5,13,Active,Formula,"08. Agriculture",Multi-sector (Rural),Special,"Commonwealth matching contribution for agricultural research and development to Australian Wool Innovation Limited (AWI).",NaN,Rural R&D Corporations,".",11.5,1516029
32,"Attorney-General's","Australian Institute of Criminology (AIC) Research Program ",2.969,4.009,4.496,4.494,4.183,4.496,4.208,2.978,2.811,2.973,2.95,3.045,Active,Targeted,"11. Political and social systems, structures and processes",Aust. Govt. (Other R&D),Annual,"The AIC undertakes and communicates evidence-based research that directly supports the Australian Government Strategic research priorities and informs policy and practice in the law enforcement and justice sectors through: • monitoring trends in crime and the criminal justice system; • building knowledge of offending and victimisation; • identifying emerging or changed criminal activity; and • building an evidence base for an effective criminal justice system and crime prevention.",NaN,.,".",2.95,1516030
33,"Attorney-General's","Australian Institute of Criminology (AIC) - Criminology Research Grant Program ",0.637,0.57,0.592,0.539,0.482,0.399,0.381,0.462,0.481,0.661,0.667,0.56,Active,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,"The Criminology Research Grants program is managed by the AIC with funding contributed by the Commonwealth and state and territory governments. The Director, AIC approves a series of research grants each year, taking into account the recommendations of the Criminology Research Advisory Council. The program funds research that has relevance for jurisdictional public policy in areas of law, police, judiciary, corrections, mental health, social welfare, education and related fields.",NaN,.,".",0.408,1516031
34,"Attorney-General's","Australian Institute of Criminology (AIC) - National Drug and Law Enforcement Research Program",0,0,0,0,0,0.224,1.088,0.713,0.997,0.714,0.632,0.046,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,"The National Drug and Law Enforcement Research Program was funded through the Department of Health. Funding had been allocated for 2014-15 but funding by Health ceased at the end of this period. The program has continued to run for a further 12 months to enable the program to be closed unless a new funding source can be identified and secured. The final project will be completed early in 2016-17.",NaN,.,".",0.253,1516032
35,"Communications and the Arts","ARC Linkage Grants - Australian National Maritime Museum",0,0,0,0,0,0,0,0,0,0,0.088,0.01,Active,Targeted,"10. Culture, recreation, religion and mass media",Aust. Govt. (Other R&D),Annual,"Transforming visualisation in museums, deep mapping for narrative coherence.",NaN,.,".",0,1617003
36,"Communications and the Arts","ARC Linkage Grants - NMA Contribution",0.046,0.078,0.054,0.024,0,0.09,0.072,0.082,0.052,0,0,0,. . . . .,Targeted,"10. Culture, recreation, religion and mass media",Aust. Govt. (Other R&D),Annual,".",NaN,.,".",0,1516033
37,"Communications and the Arts","Australian National Maritime Museum",0,0,0,0.199,0.127,0.113,0.112,0.122,0.195,0.226,0.244,0.311,Active,Targeted,"10. Culture, recreation, religion and mass media",Aust. Govt. (Other R&D),Annual,"Research and Development with respect to the Human Sciences, specifically including maritime archaeology.",NaN,.,".",0.244,1516034
38,"Communications and the Arts","ARC linkage grant - Cultures of coast and sea: maritime environmental, cultural and ethnographic histories of northeast Australia",0,0,0,0,0,0,0.087,0.147,0.119,0,0,0,. . . . .,Targeted,"10. Culture, recreation, religion and mass media",Higher Ed. (Other R&D),Annual,".",NaN,.,".",0,1516035
39,"Communications and the Arts","ARC linkage grant - Return, Reconcile, Renew: understanding the history, effects and opportunities of repatriation and building an evidence base for the future.",0,0,0,0,0,0,0,0,0.1075,0.115,0.1075,0,. . . . .,Targeted,"10. Culture, recreation, religion and mass media",Higher Ed. (Other R&D),Annual,"The project illuminates over forty years of the repatriation of Indigenous ancestral remains. Bringing together community organisations, government and cultural institutions, and universities, the project will significantly advance repatriation research. It will deliver publications in scholarly and popular domains, and its data archive will forge new ground in the Indigenous development of protocols for the digital archiving of, and online access to, information of high cultural sensitivity.",NaN,.,".",0.1075,1516036
40,"Communications and the Arts","Australia Council - Synapse program",0.3,0.1,0.1,0.155,0.177,0.09,0.158,0.075,0.075,0.15,0.065,0,. . . . .,Competitive,"10. Culture, recreation, religion and mass media",Multi-sector (Other R&D),Annual,"The Synapse programme was an Australia Council and Australian Network for Art and Technology (ANAT) initiative which supported collaborative interdisciplinary research projects between artists and scientists to develop innovative projects with the potential to create new knowledge, ideas and processes beneficial to both fields.",NaN,.,".",0.065,1516037
41,"Defence","Defence Science and Technology Group (DST Group)",351.131,408.1,406.04,379.546,407.606,421.715,450.912,434.07,425.664,439.766,464.34,438.14,Active,Targeted,"14. Defence",Aust. Govt. (DST Group),Annual,"DST Group is the Australian Government's lead agency dedicated to providing science and technology support for the country's defence and security needs.",NaN,.,".",431.649,1516038
42,"Defence","Explosive Ordinance - Required materials for Proof and Equipment Unit",0,0,0,0,0,0,0,0,0,0.051,0.095,0.043,Active,Targeted,"14. Defence",Aust. Govt. (Other R&D),Annual,"The program involves the provision of design and engineering activities and the conduct of comprehensive instrument test and evaluation of weapon systems including specialised capabilities in laboratory environment testing of explosive and non-explosive materiel.",NaN,.,".",0.042,1516039
43,"Defence","Joint Force Integration - IMD Study",0,0,0,0,0,0,0,0,0,0.117,0.713,0.143,Active,Targeted,"14. Defence",Aust. Govt. (Other R&D),Annual,"The Intelligence Mission Data (IMD) Study is to inform the design and development of a production capability to support the data needs of next generation capability systems including Joint Strike Fighter, Growler, Air Warfare Destroyer and Amphibious Assault Ship. The IMD Study is one of three studies within the broader mission data environment. The IMD Study will be concluded in FY16/17 with the presentation of the final deliverable to Joint Warfare Council through Head Joint Capability Management and Integration as the sponsor.",NaN,.,".",0.724,1516040
44,"Defence","Mental Health - Transition and Wellbeing Research Programme",0,0,0,0,0,0,0,0,0,0.346,0.484,0.5,Active,Targeted,"14. Defence",Aust. Govt. (Other R&D),Annual,"The Transition and Wellbeing Research Programme (TWRP) is a joint research agenda between Department of Veteran Affairs (DVA) and Department of Defence. The programme is a prevalence study of mental health issues in ADF members transitioning from full-time service. It is envisaged that the programme will be an interim step between the Military Health Outcomes Programme (MILHOP) and future longitudinal research studies of contemporary veterans.",NaN,.,".",0,1617004
45,"Defence","Strategic Health - Australian Defence Human Research Ethics Committee",0,0,0,0,0,0,0,0,0,0.027,0.032,0.046,Active,Targeted,"14. Defence",Aust. Govt. (Other R&D),Annual,"Australian Defence Human Research Ethics Committee (ADHREC) is an advisory body that reviews the ethics of, and where appropriate, approves proposals for human research to be conducted by, or on, Defence personnel and/or utilising Defence resources in accordance with the requirements of the National Statement on Ethical Conduct in Human Research, other relevant guidelines and institutional policy.",NaN,.,".",0.144,1516041
